time,read_ops,read_ops_per_sec,avg_read_latency,write_ops,write_ops_per_sec,avg_write_latency,read_errors,write_errors,memtable_size
5.658992417,85929,15184.505238399579,12383,86876,15351.849516358876, 194, 0, 0, 129668
5.760273917,85985,14927.241523399936,12644,86925,15090.428207495952, 194, 0, 0, 132104
5.860735125,86040,14680.752186356485,12851,86974,14840.11785978811, 193, 0, 0, 134544
5.961852208,86092,14440.478729827648,13098,87018,14595.79958779146, 193, 0, 0, 136734
6.062836417,86139,14207.706438931618,13263,87053,14358.460959940494, 193, 0, 0, 138482
6.163712333,86182,13982.158047608546,13454,87102,14131.418744781968, 193, 0, 0, 140924
6.264851542,86239,13765.529705188983,13726,87149,13910.784543855038, 193, 0, 0, 143264
6.365803375,86294,13555.869529193556,13948,87193,13697.092866931349, 193, 0, 0, 145448
6.467156167,86334,13349.608045733776,14130,87225,13487.381122027573, 193, 0, 0, 147042
6.567904,86386,13152.750101097701,14349,87277,13288.409818413911, 193, 0, 0, 149636
6.668769375,86430,12960.41220498797,14566,87328,13095.069733161974, 193, 0, 0, 152176
6.770221917,86488,12774.765888076576,14851,87381,12906.667029715329, 193, 0, 0, 154816
6.871064667,86540,12594.84580542953,15092,87430,12724.37449466956, 192, 0, 0, 157260
6.971987917,86613,12422.999154776075,15418,87507,12551.22657149608, 192, 0, 0, 161090
7.073161667,86660,12251.946736112966,15592,87540,12376.360688660618, 192, 0, 0, 162736
7.173852667,86713,12087.36839535096,15786,87584,12208.781538390074, 192, 0, 0, 164924
7.275600583,86746,11922.864512750837,15926,87620,12042.992052742817, 192, 0, 0, 166716
7.376357333,86790,11765.970123454159,16117,87654,11883.101108437042, 192, 0, 0, 168416
7.476896625,86847,11615.380599166703,16371,87705,11730.134091562353, 192, 0, 0, 170946
7.577860708,86896,11467.088581908518,16641,87750,11579.785295784299, 192, 0, 0, 173180
7.67941425,86943,11321.566615578786,16850,87805,11433.81476002548, 192, 0, 0, 175920
7.779870417,86999,11182.577001526426,17102,87860,11293.247225302724, 191, 0, 0, 178658
7.880966958,87049,11045.472016810858,17291,87910,11154.722570021971, 191, 0, 0, 181142
7.982273083,87102,10911.929358255456,17522,87944,11017.413095938302, 191, 0, 0, 182834
8.082761625,87157,10783.0719305668,17750,87992,10886.378206161684, 191, 0, 0, 185230
8.183785125,87214,10656.926919253638,17997,88051,10759.20233181831, 191, 0, 0, 188164
8.285397375,87256,10531.299351227555,18182,88084,10631.234208003209, 191, 0, 0, 189808
8.385945917,87303,10410.632368021745,18387,88132,10509.488240478477, 191, 0, 0, 192200
8.486798833,87355,10293.044729695905,18615,88177,10389.901037495229, 191, 0, 0, 194434
8.587892625,87406,10177.81705206171,18840,88224,10273.06742787786, 191, 0, 0, 196774
8.688781917,87456,10065.392460695593,19085,88264,10158.385932935827, 191, 0, 0, 198764
8.7900185,87511,9955.724211501944,19305,88320,10047.760422802296, 190, 0, 0, 201550
8.89076375,87555,9847.860370825847,19486,88362,9938.628725794228, 190, 0, 0, 203632
8.991972083,87617,9743.913703385104,19758,88415,9832.659530511133, 190, 0, 0, 206274
9.093184083,87673,9641.617193685486,19994,88466,9728.825369915256, 190, 0, 0, 208808
9.1940665,87729,9541.91488608441,20214,88523,9628.274931446276, 190, 0, 0, 211648
9.295149667,87776,9443.204589983714,20400,88569,9528.517901593461, 190, 0, 0, 213926
9.395855917,87826,9347.312344487498,20614,88620,9431.817684609137, 190, 0, 0, 216470
9.496893583,87870,9252.499170601688,20787,88653,9334.947183012991, 190, 0, 0, 218108
9.597856833,87927,9161.107685799547,21034,88714,9243.105158120043, 190, 0, 0, 221146
9.698725833,87978,9071.088462017773,21260,88758,9151.511397301296, 190, 0, 0, 223338
9.799735042,88029,8982.79388398999,21481,88802,9061.673567643382, 189, 0, 0, 225528
9.900981833,88078,8895.88542688118,21700,88858,8974.665492652057, 189, 0, 0, 228322
10.001897792,88119,8810.228001977968,21865,88887,8887.013429700923, 189, 0, 0, 229764
