time,read_ops,read_ops_per_sec,avg_read_latency,write_ops,write_ops_per_sec,avg_write_latency,read_errors,write_errors,memtable_size
3.7378410410000003,92694,24798.807381921513,7308,93417,24992.234548050164, 180, 0, 0, 81996
3.838858583,92768,24165.516388338394,7598,93492,24354.114114549553, 180, 0, 0, 85436
3.939913208,92820,23558.89459989343,7755,93528,23738.593989860296, 180, 0, 0, 87078
4.040992041,92882,22984.94999683668,7997,93610,23165.103779030185, 179, 0, 0, 90838
4.141975291,92930,22436.155088111078,8168,93643,22608.295178263055, 179, 0, 0, 92350
4.243052666,92983,21914.175316531415,8368,93699,22082.92174896139, 179, 0, 0, 94920
4.344492125,93024,21411.938915644827,8536,93735,21575.594408517885, 179, 0, 0, 96562
4.444819833,93090,20943.481062801493,8769,93801,21103.4425520662, 179, 0, 0, 99578
4.546031666,93163,20493.258042342903,9030,93895,20654.277598250235, 179, 0, 0, 103880
4.646845583,93207,20058.12294279545,9208,93941,20216.079558071255, 179, 0, 0, 105984
4.747995708,93263,19642.604108268075,9437,93980,19793.615196755774, 179, 0, 0, 107776
4.849072625,93303,19241.411134773425,9586,94001,19385.35618447249, 179, 0, 0, 108732
4.949927166,93366,18862.095717551412,9831,94057,19001.693731184085, 179, 0, 0, 111298
5.051771541,93410,18490.543216748367,10005,94099,18626.931015445934, 178, 0, 0, 113226
5.152840583,93472,18139.897498164075,10227,94187,18278.655914707928, 178, 0, 0, 117248
5.254234333,93547,17804.116465164894,10528,94255,17938.86492804812, 178, 0, 0, 120360
5.354967333,93602,17479.471709038713,10765,94290,17607.95055068546, 178, 0, 0, 121966
5.455840458,93648,17164.724797383362,10935,94323,17288.445423966245, 178, 0, 0, 123478
5.557094875,93696,16860.608304802427,11084,94378,16983.33430019044, 178, 0, 0, 125984
5.658101416,93746,16568.455230389598,11283,94409,16685.63234533582, 178, 0, 0, 127406
5.758797958,93807,16289.336886647552,11526,94478,16405.854257962492, 178, 0, 0, 130566
5.859890958,93871,16019.24006313566,11784,94526,16131.016887089318, 178, 0, 0, 132762
5.960811333,93928,15757.586468137257,11970,94572,15865.625452098167, 178, 0, 0, 134870
6.061882458,93981,15503.599855515376,12187,94628,15610.33237705184, 177, 0, 0, 137438
6.162881625,94038,15258.771094763646,12391,94670,15361.320525120422, 177, 0, 0, 139358
6.263881625,94105,15023.432055997706,12620,94738,15124.487605558797, 177, 0, 0, 142472
6.364824833,94167,14794.908339310145,12821,94791,14892.947172486623, 177, 0, 0, 144900
6.465965333,94224,14572.302068975538,13046,94846,14668.498068794084, 177, 0, 0, 147418
6.567243375,94275,14355.338247229187,13194,94890,14448.984845182473, 177, 0, 0, 149432
6.668085833,94351,14149.637896540256,13423,94945,14238.718933418984, 177, 0, 0, 151952
6.768884958,94407,13947.201139594254,13630,95010,14036.285235976675, 177, 0, 0, 154926
6.870307541,94457,13748.583951490971,13810,95054,13835.479624855996, 177, 0, 0, 156940
6.970834791,94511,13558.06052411722,13992,95119,13645.281067743497, 177, 0, 0, 159918
7.071952083,94572,13372.828165413914,14214,95159,13455.83212148017, 176, 0, 0, 161750
7.173005833,94639,13193.771509930402,14453,95217,13274.351397003806, 176, 0, 0, 164404
7.274053,94697,13018.464396671292,14649,95279,13098.474811772749, 176, 0, 0, 167248
7.374896333,94748,12847.367030237006,14873,95340,12927.63934502888, 176, 0, 0, 170048
7.476176125,94798,12680.011601519085,15031,95405,12761.202840175196, 176, 0, 0, 173018
7.57682275,94858,12519.495721343092,15263,95455,12598.288642821954, 176, 0, 0, 175306
7.6778762910000005,94912,12361.751661882825,15439,95504,12438.856316550671, 176, 0, 0, 177544
7.779017625,94968,12208.225328452061,15655,95553,12283.42762624863, 176, 0, 0, 179788
7.879785666,95042,12061.4955823089,15891,95614,12134.086389247735, 176, 0, 0, 182566
7.9812653749999996,95090,11914.15089364824,16085,95659,11985.442847150036, 176, 0, 0, 184626
8.082085125,95145,11772.333318501145,16281,95728,11844.468168726446, 175, 0, 0, 187768
8.183100625,95205,11634.343064185405,16477,95771,11703.510000526237, 175, 0, 0, 189738
8.284182708,95257,11498.659959299392,16678,95821,11566.74150939067, 175, 0, 0, 192022
8.38510475,95322,11368.015408513531,16879,95885,11435.158278732297, 175, 0, 0, 194954
